Timestamp,Agitation [rpm],Airflow [mL/s],DO [%],Temp [C],pH,Feed pump [ml/hr],Base Pump [mL/hr],Antifoam Pump [mL/hr],_EFT
2019-10-18 15:56:19.818661,999.71,60.02,100.01,32.01,7.2,0,0,0
2019-10-18 15:57:19.818661,1000.88,59.87,100.14,32.16,7.2003,0,0,0,0:00:00
2019-10-18 15:58:19.818661,998.78,60.02,99.78,32.07,7.1993,0,0,0,0:01:00
2019-10-18 15:59:19.818661,999.29,59.75,99.7,32.05,7.1981,0,0,0,0:02:00
2019-10-18 16:00:19.818661,1001.62,59.8,99.99,32.11,7.2012,0,0,0,0:03:00
2019-10-18 16:01:19.818661,1001.69,60.07,99.69,32.01,7.1976,0,0,0,0:04:00
2019-10-18 16:02:19.818661,1003.37,60.11,99.95,32.15,7.2025,0,0,0,0:05:00
2019-10-18 16:03:19.818661,995.1,60.07,99.68,32.12,7.1997,0,0,0,0:06:00
2019-10-18 16:04:19.818661,1000.28,60.25,100.23,31.96,7.1983,0,0,0,0:07:00
2019-10-18 16:05:19.818661,1003.29,59.85,99.78,31.84,7.1976,0,0,0,0:08:00
2019-10-18 16:06:19.818661,999.45,59.74,100.31,32.01,7.2004,0,0,0,0:09:00
2019-10-18 16:07:19.818661,997.79,59.75,99.59,32.02,7.2024,0,0,0,0:10:00
2019-10-18 16:08:19.818661,998.76,60.11,100.08,31.91,7.2017,0,0,0,0:11:00
2019-10-18 16:09:19.818661,1002.78,59.71,99.48,32.05,7.199,0,0,0,0:12:00
2019-10-18 16:10:19.818661,997.19,59.86,100.07,32.15,7.1998,0,0,0,0:13:00
2019-10-18 16:11:19.818661,996.8,59.9,99.96,32.01,7.1992,0,0,0,0:14:00
2019-10-18 16:12:19.818661,999.94,60.13,99.98,31.88,7.2001,0,0,0,0:15:00
2019-10-18 16:13:19.818661,1004.92,60.2,100.23,31.88,7.1996,0,0,0,0:16:00
2019-10-18 16:14:19.818661,1000.75,59.73,99.84,31.87,7.1988,0,0,0,0:17:00
2019-10-18 16:15:19.818661,1003.99,60.22,99.82,31.91,7.2,0,0,0,0:18:00
2019-10-18 16:16:19.818661,1003.97,60.11,100.06,31.9,7.2015,0,0,0,0:19:00
2019-10-18 16:17:19.818661,999.43,59.85,99.49,32.06,7.1971,0,0,0,0:20:00
2019-10-18 16:18:19.818661,996.61,59.77,99.49,31.97,7.2023,0,0,0,0:21:00
2019-10-18 16:19:19.818661,1002.98,60.2,100.06,32.01,7.1991,0,0,0,0:22:00
2019-10-18 16:20:19.818661,1001.39,60.17,100.13,32.07,7.2005,0,0,0,0:23:00
2019-10-18 16:21:19.818661,1001.37,59.78,99.9,32.01,7.1977,0,0,0,0:24:00
