Timestamp,Agitation [rpm],Airflow [mL/s],DO [%],Temp [C],pH,Feed pump [ml/hr],Base Pump [mL/hr],Antifoam Pump [mL/hr],_EFT
2019-10-18 15:56:19.820198,1000.47,59.98,99.99,32.01,7.2,0,0,0
2019-10-18 15:57:19.820198,999.34,59.74,100.29,31.99,7.1993,0,0,0,0:00:00
2019-10-18 15:58:19.820198,995.78,60.0,100.07,31.92,7.2014,0,0,0,0:01:00
2019-10-18 15:59:19.820198,997.3,59.98,100.03,32.06,7.2018,0,0,0,0:02:00
2019-10-18 16:00:19.820198,996.16,59.88,99.97,31.89,7.1985,0,0,0,0:03:00
2019-10-18 16:01:19.820198,995.42,60.27,99.48,31.94,7.1977,0,0,0,0:04:00
2019-10-18 16:02:19.820198,1002.13,60.01,100.18,32.02,7.1995,0,0,0,0:05:00
2019-10-18 16:03:19.820198,1003.16,60.19,99.83,32.15,7.2012,0,0,0,0:06:00
2019-10-18 16:04:19.820198,997.0,59.85,99.66,31.86,7.1968,0,0,0,0:07:00
2019-10-18 16:05:19.820198,1001.17,60.02,99.55,32.01,7.1974,0,0,0,0:08:00
2019-10-18 16:06:19.820198,1003.1,59.79,99.82,31.88,7.2006,0,0,0,0:09:00
2019-10-18 16:07:19.820198,998.16,59.95,100.28,32.09,7.1996,0,0,0,0:10:00
2019-10-18 16:08:19.820198,997.76,59.91,99.66,32.14,7.1977,0,0,0,0:11:00
2019-10-18 16:09:19.820198,999.09,60.03,99.96,32.06,7.1979,0,0,0,0:12:00
2019-10-18 16:10:19.820198,999.8,59.76,99.99,31.95,7.1998,0,0,0,0:13:00
2019-10-18 16:11:19.820198,995.65,60.23,99.97,32.03,7.2005,0,0,0,0:14:00
2019-10-18 16:12:19.820198,1003.76,59.93,99.9,31.98,7.1986,0,0,0,0:15:00
2019-10-18 16:13:19.820198,1000.37,60.16,100.33,32.0,7.2013,0,0,0,0:16:00
2019-10-18 16:14:19.820198,1001.59,59.87,99.83,32.14,7.1983,0,0,0,0:17:00
2019-10-18 16:15:19.820198,998.34,60.11,99.98,31.87,7.2012,0,0,0,0:18:00
2019-10-18 16:16:19.820198,995.42,59.77,99.58,32.09,7.2035,0,0,0,0:19:00
